Ort,Address,Latitude,Longitude,Link
Affenfelsen,"Metzgergasse 39, 72070 Tübingen",48.52206897,9.057223511,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8350
Atelier Lange Gasse 62,,48.52288361,9.054859371,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8066
Begegnungsstätte Hirsch,,48.52113392,9.054092568,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8065
Boxenstop,"Brunnenstraße 18  72074 Tübingen
",48.52399025,9.0628984,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1992
Buchhandlung Quichotte,,48.52204084,9.053076868,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8353
Buchhandlung RosaLux,,48.52270408,9.054953578,https://www.kulturnacht-tuebingen.de/partys/location/location_id/74
Club Voltaire,Haaggasse 26b  72070 Tübingen,48.52068114,9.051194442,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8289
Deutsch-Amerikanisches Institut Tübingen (d.a.i.),,48.51836828,9.058257995,https://www.kulturnacht-tuebingen.de/partys/location/location_id/404
Deutsch-französisches Kulturinstitut Tübingen (ICFA),,48.52241852,9.061206611,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8261
Doblerstraße 21,,48.5228351,9.060694626,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8354
Eberhardsbrücke,,48.5192014,9.05812227,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8355
ehemaliger Weinmarkt Mattheis,Lichtenstein Straße 9/1,48.51289246,9.068799096,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8352
Epplehaus,,48.5167614,9.058903912,https://www.kulturnacht-tuebingen.de/partys/location/location_id/32
Friseur LA COUPE,,48.52027681,9.053061384,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8356
Galerie Fingur,,48.52325896,9.052480717,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8357
Galerie Künstlerbund Tübingen,,48.52165772,9.055598412,https://www.kulturnacht-tuebingen.de/partys/location/location_id/7362
Heizkraftwerk Brunnenstraße,,48.52363026,9.060245099,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8368
Hinrichs Teehus,,48.52240895,9.054136348,https://www.kulturnacht-tuebingen.de/partys/location/location_id/326
hinter der Stiftskirche ,,48.52035491,9.055717177,https://www.kulturnacht-tuebingen.de/partys/location/location_id/73
Hirsch-Begegnungsstätte für Ältere e.V.,,48.5210957,9.05410397,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1072
Hochschule für Kirchenmusik Tübingen,,48.5191852,9.060097626,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1057
Hölderlinturm,,48.51943299,9.055716739,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1697
Hörgeräte Kaipf,Neue Straße 2  72070 Tübingen,48.52067726,9.056637984,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8373
Westspitze,,48.51640744,9.063303639,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8360
Jakobuskirche Tübingen,,48.52210818,9.051225902,https://www.kulturnacht-tuebingen.de/partys/location/location_id/267
Jugendcafé Brick,,48.51541885,9.050777741,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8361
KIMakerspace,Wöhrdstraße 25  72072 Tübingen ,48.51810074,9.061108311,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8362
Kino Arsenal,,48.52350256,9.05386714,https://www.kulturnacht-tuebingen.de/partys/location/location_id/151
Kino Atelier/Cafe Haag,Am Haagtor 1    72070 Tübingen ,48.52048862,9.049735413,https://www.kulturnacht-tuebingen.de/partys/location/location_id/152
Kunsthalle Tübingen,,48.54219045,9.047774926,https://www.kulturnacht-tuebingen.de/partys/location/location_id/63
Landestheater Tübingen ,,48.51524287,9.063575455,https://www.kulturnacht-tuebingen.de/partys/location/location_id/54
"Löwen, Zimmertheater",Kornhausstraße 5 72070 Tübingen,48.52105053,9.0533451,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8309
Marktplatz Tübingen,,48.52050555,9.053769484,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8349
Masckaratheater,,48.52099311,9.050602632,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8364
Museum der Universität Tübingen,,48.5191312,9.049531711,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8056
Musikschule prima-primus,,48.51958431,9.052400126,https://www.kulturnacht-tuebingen.de/partys/location/location_id/5284
Paläontologisches Musuem,,48.52622151,9.05989157,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8366
Rathaus ,Am Markt 1 72070 Tübingen ,48.5206045,9.053304254,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8259
Roigelhaus,,48.52072844,9.05195972,https://www.kulturnacht-tuebingen.de/partys/location/location_id/18
Schlachthaus,,48.527106,9.06451798,https://www.kulturnacht-tuebingen.de/partys/location/location_id/4975
Schlachthof Areal,Schlachthausstraße 9 72074 Tübingen,48.52712021,9.064721828,https://www.kulturnacht-tuebingen.de/partys/location/location_id/741
St. Johanneskirche Tübingen,,48.52188053,9.054627082,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1533
Stadtbücherei,,48.5226124,9.055871627,https://www.kulturnacht-tuebingen.de/partys/location/location_id/8367
Stadtmuseum Tübingen,,48.52138061,9.053324311,https://www.kulturnacht-tuebingen.de/partys/location/location_id/118
Stiftskirche Tübingen,,48.52017591,9.05613327,https://www.kulturnacht-tuebingen.de/partys/location/location_id/58
Stocherkahn-Anlegestelle Hölderlinturm,,48.51980833,9.056569799,https://www.kulturnacht-tuebingen.de/partys/location/location_id/7401
Taubenhaus auf der Neckarinsel,,48.5191149,9.056944455,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1548
Technisches Rathaus,,"48.52357341	",9.060202184,https://www.kulturnacht-tuebingen.de/partys/location/location_id/3551
Tübinger Holzmarkt,,48.52055761,9.056096241,https://www.kulturnacht-tuebingen.de/partys/location/location_id/1547
Zimmertheater Tübingen ,Bursagasse 16   72070 Tübingen ,48.51976375,9.056522113,https://www.kulturnacht-tuebingen.de/partys/location/location_id/4805
